frame,emotion
580,fear
581,neutral
582,fear
583,happy
584,happy
585,happy
586,happy
587,happy
588,happy
589,happy
590,surprise
591,surprise
592,fear
593,fear
594,neutral
595,neutral
596,neutral
597,fear
598,fear
599,neutral
600,fear
601,fear
602,fear
603,fear
604,fear
605,fear
606,fear
607,fear
608,fear
609,fear
610,fear
611,fear
612,fear
613,fear
614,fear
615,fear
616,fear
617,fear
618,fear
619,neutral
620,neutral
621,neutral
622,neutral
623,neutral
624,neutral
625,neutral
626,neutral
627,neutral
628,neutral
629,neutral
630,neutral
631,neutral
632,neutral
633,neutral
634,neutral
635,neutral
636,neutral
637,neutral
638,neutral
639,neutral
640,neutral
641,neutral
642,neutral
643,neutral
644,neutral
645,neutral
646,neutral
647,neutral
648,neutral
649,neutral
650,neutral
651,sad
652,sad
653,fear
654,neutral
655,neutral
656,sad
657,sad
658,sad
659,sad
660,sad
661,sad
662,sad
663,sad
664,sad
665,sad
666,sad
667,sad
668,sad
669,sad
670,sad
671,sad
672,sad
673,sad
674,sad
675,sad
676,sad
677,neutral
678,neutral
679,neutral
680,neutral
681,sad
682,sad
683,sad
684,happy
685,fear
686,sad
687,fear
688,neutral
689,neutral
690,neutral
691,neutral
692,neutral
693,neutral
694,fear
695,fear
696,fear
697,fear
698,fear
699,fear
700,fear
701,fear
702,fear
703,fear
704,fear
705,fear
706,fear
707,fear
708,fear
709,fear
710,fear
711,fear
712,fear
713,fear
714,fear
715,fear
716,sad
717,sad
718,sad
719,sad
720,sad
721,sad
722,neutral
723,neutral
724,neutral
725,neutral
726,neutral
727,sad
728,sad
729,sad
730,neutral
731,neutral
732,neutral
733,neutral
734,neutral
735,neutral
736,neutral
737,neutral
738,neutral
739,neutral
740,neutral
741,neutral
742,neutral
743,neutral
744,neutral
745,neutral
746,neutral
747,neutral
748,neutral
749,neutral
750,neutral
751,neutral
752,neutral
753,neutral
754,neutral
755,neutral
756,neutral
757,neutral
758,neutral
759,neutral
760,neutral
761,neutral
762,neutral
763,neutral
764,neutral
765,neutral
766,neutral
767,neutral
768,neutral
769,neutral
770,neutral
771,neutral
772,neutral
773,neutral
774,neutral
775,neutral
776,neutral
777,neutral
778,neutral
779,neutral
780,neutral
781,neutral
782,neutral
783,neutral
784,neutral
785,neutral
786,neutral
787,neutral
788,neutral
789,neutral
790,neutral
791,neutral
792,neutral
793,neutral
794,neutral
795,neutral
796,neutral
797,neutral
798,neutral
799,neutral
800,neutral
801,neutral
802,neutral
803,neutral
804,neutral
805,neutral
806,neutral
807,neutral
808,neutral
809,neutral
810,neutral
811,neutral
812,neutral
813,neutral
814,neutral
815,neutral
816,neutral
817,neutral
818,neutral
819,neutral
820,neutral
821,neutral
822,neutral
823,neutral
824,neutral
825,neutral
826,neutral
827,neutral
828,neutral
829,neutral
830,neutral
831,neutral
832,neutral
833,neutral
834,neutral
835,neutral
836,neutral
837,neutral
838,neutral
839,neutral
840,neutral
841,neutral
842,neutral
843,neutral
844,neutral
845,neutral
846,neutral
847,neutral
848,neutral
849,neutral
850,neutral
851,neutral
852,neutral
853,neutral
854,neutral
855,neutral
856,neutral
857,neutral
858,neutral
859,neutral
860,neutral
861,neutral
862,neutral
863,fear
864,fear
865,fear
866,fear
867,neutral
868,fear
869,fear
870,neutral
871,neutral
872,neutral
873,neutral
874,neutral
875,neutral
876,fear
877,fear
878,fear
879,fear
880,fear
881,neutral
882,sad
883,sad
884,sad
885,fear
886,sad
887,neutral
888,neutral
889,sad
890,sad
891,sad
892,sad
893,neutral
894,neutral
895,surprise
896,surprise
897,surprise
898,surprise
899,surprise
900,fear
901,neutral
902,happy
903,happy
904,neutral
905,neutral
906,neutral
907,neutral
908,neutral
909,fear
910,fear
911,fear
912,fear
913,fear
914,fear
915,fear
916,fear
917,neutral
918,fear
919,fear
920,fear
921,fear
922,fear
923,fear
924,fear
925,fear
926,fear
927,fear
928,fear
929,fear
930,fear
931,fear
932,fear
933,fear
934,fear
935,fear
936,neutral
937,neutral
938,neutral
939,neutral
940,neutral
941,neutral
942,fear
943,fear
944,fear
945,fear
946,fear
947,neutral
948,neutral
949,neutral
950,neutral
951,neutral
952,neutral
953,fear
954,fear
955,fear
956,fear
957,fear
958,fear
959,fear
960,fear
961,fear
962,fear
963,fear
964,fear
965,fear
966,fear
967,fear
968,fear
969,fear
970,fear
971,fear
972,fear
973,fear
974,fear
975,fear
976,fear
977,fear
978,fear
979,fear
980,fear
981,fear
982,fear
983,fear
984,fear
985,fear
986,fear
987,fear
988,neutral
989,neutral
990,neutral
991,neutral
992,neutral
993,neutral
994,neutral
995,fear
996,fear
997,fear
998,fear
999,fear
1000,fear
1001,surprise
1002,surprise
1003,surprise
1004,surprise
1005,surprise
1006,surprise
1007,surprise
1008,surprise
1009,fear
1010,fear
1011,fear
1012,fear
1013,fear
1014,fear
1015,fear
1016,neutral
1017,neutral
1018,neutral
1019,neutral
1020,fear
1021,fear
1022,fear
1023,fear
1024,fear
1025,fear
1026,fear
1027,fear
1028,fear
1029,fear
1030,fear
1031,surprise
1032,fear
1033,fear
1034,fear
1035,fear
1036,fear
1037,fear
1038,fear
1039,fear
1040,fear
1041,fear
1042,fear
1043,fear
1044,fear
1045,fear
1046,fear
1047,fear
1048,surprise
1049,fear
1050,fear
1051,fear
1052,fear
1053,fear
1054,fear
1055,fear
1056,fear
1057,fear
1058,neutral
1059,neutral
1060,neutral
1061,neutral
1062,neutral
1063,neutral
1064,neutral
1065,neutral
1066,fear
1067,fear
1068,fear
1069,fear
1070,fear
1071,fear
1072,fear
1073,fear
1074,fear
1075,fear
1076,fear
1077,fear
1078,fear
1079,fear
1080,fear
1081,fear
1082,fear
1083,fear
1084,fear
1085,fear
1086,fear
1087,fear
1088,fear
1089,fear
1090,fear
1091,fear
1092,fear
1093,fear
1094,fear
1095,fear
1096,fear
1097,fear
1098,fear
1099,fear
1100,fear
1101,fear
1102,fear
1103,neutral
1104,neutral
1105,neutral
1106,neutral
1107,neutral
1108,neutral
1109,neutral
1110,neutral
1111,neutral
1112,neutral
1113,neutral
1114,neutral
1115,neutral
1116,neutral
1117,neutral
1118,neutral
1119,neutral
1120,neutral
1121,neutral
1122,neutral
1123,neutral
1124,neutral
1125,neutral
1126,neutral
1127,neutral
1128,neutral
1129,neutral
1130,neutral
1131,neutral
1132,neutral
1133,neutral
1134,neutral
1135,neutral
1136,neutral
1137,neutral
1138,neutral
1139,neutral
1140,neutral
1141,neutral
1142,neutral
1143,neutral
1144,neutral
1145,neutral
1146,neutral
1147,neutral
1148,neutral
1149,neutral
1150,neutral
1151,neutral
1152,neutral
1153,neutral
1154,neutral
1155,neutral
1156,neutral
1157,neutral
1158,neutral
1159,neutral
1160,neutral
1161,neutral
1162,neutral
1163,neutral
1164,neutral
1165,neutral
1166,neutral
1167,neutral
1168,neutral
1169,neutral
1170,neutral
1171,neutral
1172,neutral
1173,neutral
1174,neutral
1175,neutral
1176,neutral
1177,neutral
1178,neutral
1179,neutral
1180,neutral
1181,neutral
1182,neutral
1183,neutral
1184,neutral
1185,neutral
1186,neutral
1187,neutral
1188,neutral
1189,neutral
1190,neutral
1191,neutral
1192,neutral
1193,neutral
1194,neutral
1195,neutral
1196,neutral
1197,neutral
1198,neutral
1199,neutral
1200,neutral
1201,neutral
1202,neutral
1203,neutral
1204,neutral
1205,neutral
1206,neutral
1207,neutral
1208,neutral
1209,neutral
1210,neutral
1211,neutral
1212,neutral
1213,neutral
1214,neutral
1215,neutral
1216,neutral
1217,neutral
1218,neutral
1219,neutral
1220,neutral
1221,neutral
1222,neutral
1223,neutral
1224,neutral
1225,neutral
1226,neutral
1227,neutral
1228,neutral
1229,neutral
1230,neutral
1231,neutral
1232,neutral
1233,neutral
1234,neutral
1235,neutral
1236,neutral
1237,neutral
1238,neutral
1239,neutral
1240,neutral
1241,neutral
1242,neutral
1243,neutral
1244,neutral
1245,neutral
1246,neutral
1247,neutral
1248,neutral
1249,neutral
1250,neutral
1251,neutral
1252,neutral
1253,neutral
1254,neutral
1255,neutral
1256,neutral
1257,neutral
1258,neutral
1259,neutral
1260,neutral
1261,neutral
1262,neutral
1263,neutral
1264,neutral
1265,neutral
1266,neutral
1267,neutral
1268,neutral
1269,neutral
1270,neutral
1271,happy
1272,happy
1273,fear
1274,fear
1275,fear
1276,fear
1277,fear
1278,fear
1279,fear
1280,fear
1281,fear
1282,neutral
1283,neutral
1284,neutral
1285,neutral
1286,neutral
1287,neutral
1288,neutral
1289,neutral
1290,neutral
1291,neutral
1292,neutral
1293,neutral
1294,neutral
1295,neutral
1296,fear
1297,fear
1298,fear
1299,fear
1300,fear
1301,fear
1302,fear
1303,fear
1304,fear
1305,fear
1306,fear
1307,fear
1308,neutral
1309,neutral
1310,neutral
1311,neutral
1312,neutral
1313,neutral
1314,fear
1315,fear
1316,fear
1317,fear
1318,fear
1319,fear
1320,fear
1321,fear
1322,fear
1323,fear
1324,fear
1325,neutral
1326,neutral
1327,neutral
1328,fear
1329,fear
1330,fear
1331,fear
1332,fear
1333,neutral
1334,neutral
1335,neutral
1336,neutral
1337,neutral
1338,neutral
1339,neutral
1340,fear
1341,fear
1342,fear
1343,fear
1344,fear
1345,fear
1346,fear
1347,fear
1348,fear
1349,fear
1350,fear
1351,fear
1352,fear
1353,fear
1354,fear
1355,fear
1356,fear
1357,fear
1358,fear
1359,fear
1360,fear
1361,fear
1362,fear
1363,fear
1364,fear
1365,fear
1366,fear
1367,fear
1368,fear
1369,fear
1370,fear
1371,fear
1372,fear
1373,fear
1374,fear
1375,fear
1376,fear
1377,fear
1378,fear
1379,fear
1380,fear
1381,fear
1382,fear
1383,fear
1384,fear
1385,fear
1386,fear
1387,fear
1388,fear
1389,fear
1390,fear
1391,fear
1392,fear
1393,fear
1394,neutral
1395,fear
1396,neutral
1397,neutral
1398,neutral
1399,neutral
1400,neutral
1401,neutral
1402,neutral
1403,neutral
1404,neutral
1405,neutral
1406,neutral
1407,neutral
1408,neutral
1409,neutral
1410,neutral
1411,fear
1412,fear
1413,fear
1414,fear
1415,fear
1416,fear
1417,fear
1418,happy
1419,fear
1420,fear
1421,fear
1422,fear
1423,fear
1424,fear
1425,fear
1426,fear
1427,fear
1428,fear
1429,fear
1430,fear
1431,fear
1432,fear
1433,fear
1434,fear
1435,fear
1436,fear
1437,fear
1438,fear
1439,fear
1440,fear
1441,fear
1442,fear
1443,fear
1444,fear
1445,fear
1446,fear
1447,fear
1448,fear
1449,fear
1450,fear
1451,fear
1452,fear
1453,fear
